Location,Age_primary, Age_Secondary,Literacy_Rate,Enrollment_primaryBoys,Enrollment_primaryGirls,Enrollment_Primary Total,Enrollment_secondary_Boys,Enrollment_Secondar_Girls,Enrollment_secondary_total,Dropout _primary_boys,Dropout_primary_girls,Dropout_primary_Total,Dropout_secondary_boysDropout_secondary_boy,Dropout_Secondary_girls,Dropout_Secondary_total,Schools_with_girsl_toilet,Schools_with_boys_toilet
Jammu & Kashmir,5,16,77.3,79.68,84.95,82.03,16.32,32.27,21.54,6.98,6.59,6.79,13.85,11.2,12.65,100,100
Jharkhand,4,14,74.3,108.04,113.93,110.71,73.25,83.6,77.9,7.36,7.05,7.21,NR,NR,NR,0,0
Jharkhand,4,16,74.3,100.89,104.45,102.57,70.79,81.59,75.84,6.89,5.91,6.41,NR,NR,NR,0,87.32
Jharkhand,5,16,74.3,95.64,99.11,97.24,45.17,41.42,43.43,5.91,5.03,5.48,2.72,4.18,3.41,0,94.93
Karnataka,5,15,77.2,89.96,93.21,91.41,59.68,59.48,59.59,3.4,2.51,2.97,19.47,11.26,15.33,0,86.08
Karnataka,5,16,77.2,97.97,99.73,98.8,94.58,96.6,95.53,2.42,2.21,2.32,NR,NR,NR,88.24,90.05
Karnataka,4,15,77.2,84.86,87.24,85.98,61.01,55.98,58.6,2.03,2.01,2.02,5.97,NR,1.96,95.33,93.65
Kerala,4,14,96.2,108.56,109.92,109.22,47.75,48.98,48.32,NR,NR,NR,NR,NR,NR,84.62,0
Kerala,4,16,96.2,102.93,103.04,102.98,37.12,42.87,39.86,NR,NR,NR,6.95,5.9,6.4,90.38,100
Kerala,4,15,96.2,95.45,95.44,95.44,72.88,82.44,77.56,NR,NR,NR,1.54,NR,0.47,93.99,100
Lakshadweep,4,16,92.28,77.9,69.9,73.8,93.23,102.35,98.16,2.3,2.71,2.5,2.98,10.65,6.59,0,0
Lakshadweep,5,17,92.28,95.35,93.52,94.47,47.04,43.24,45.25,0,NR,NR,3.03,2.59,2.82,100,0
Lakshadweep,5,14,92.28,97.86,97.6,97.74,68.74,66.74,67.81,NR,NR,NR,3,3.21,3.12,98.46,0
Madhya  Pradesh,5,17,73.7,128.91,132.9,130.85,71.1,64.81,67.95,5.75,6.49,6.11,NR,NR,NR,0,0
Madhya Pradesh,5,15,73.7,138.75,143.12,140.9,39.77,47.03,43.35,9.91,10.4,10.14,0.52,2.83,1.55,0,88.89
Madhya Pradesh,5,16,73.7,124.91,121,122.99,53.57,57.86,55.68,6.48,6.72,6.59,NR,0.73,NR,0,100
Maharashtra,5,17,84.8,98.14,100.96,99.5,36.42,36.44,36.43,0.88,1.06,0.97,2.55,3.94,3.2,0,0
Maharashtra,5,15,84.8,104.91,102.5,103.73,36.99,36.07,36.54,0.51,0.59,0.55,2.85,3.89,3.34,90,98.98
Maharashtra,4,17,84.8,80.2,90.23,84.79,64.74,86.95,74.8,1.26,1.25,1.26,2.02,1.6,1.83,100,99.61
Manipur,4,16,79.85,99.87,103.99,101.7,69.03,71.69,70.19,10.24,9.48,9.86,5.96,10.06,7.93,0,0
Manipur,4,17,79.85,101.27,99.48,100.43,66.09,51.59,59.31,17.27,18.74,18,3.3,3.08,3.2,99.28,100
Manipur,5,15,79.85,107.27,98.32,102.87,60.72,75.88,68.23,9.5,9.83,9.66,NR,NR,NR,99.43,100
Meghalaya,4,16,75.48,103.39,104.43,103.89,74.14,90.6,82.03,11.32,8.96,10.14,NR,NR,NR,0,0
Meghalaya,5,15,75.48,103.13,102.9,103.02,57.99,64.88,61.32,11.3,9.39,10.34,NR,NR,NR,100,73.33
Meghalaya,4,16,75.48,107.58,108.36,107.96,45.24,41.53,43.46,10.35,8.56,9.46,NR,NR,NR,100,82.82
Mizoram,5,15,91.5,88.63,96.16,92.15,62.21,59.26,60.78,24.27,23.93,24.11,2.91,NR,NR,0,0
Mizoram,5,16,91.5,98.87,99.76,99.29,73.36,78.54,75.83,12.57,13.38,12.96,NR,NR,NR,71.13,100
Mizoram,6,17,91.5,103.13,104.26,103.68,48.98,54.36,51.54,10.17,10.03,10.1,9,4.85,6.91,81.82,100
Nagaland,6,15,80.11,97.87,100.69,99.21,55.95,56.41,56.16,7.11,7.03,7.07,18.67,17.87,18.29,0,0
Nagaland,5,14,80.11,92.91,88.94,90.92,98.65,92.51,95.65,19.09,19.74,19.41,15.36,12.96,14.19,100,100
Nagaland,6,16,80.11,88.31,88.11,88.21,51.27,52.03,51.63,6.18,5.02,5.61,10.36,3.19,6.97,99.28,100
Odisha,5,15,77.3,128.78,127.45,128.13,68,69.44,68.71,3.63,3.49,3.56,NR,NR,NR,0,0
Odisha,5,16,77.3,113.39,116.6,114.96,32.71,35.4,33.97,2.83,3.05,2.94,NR,NR,NR,100,0
Odisha,6,15,77.3,98.09,104.35,101.09,31.91,31.66,31.79,2.91,2.81,2.86,NR,NR,NR,100,88.4
